id,Council,test
1,Angus,
2,Clackmannanshire,
3,Dundee City,
4,East Ayrshire,
5,East Dunbartonshire,
6,East Renfrewshire,
7,Inverclyde,
8,Midlothian,
9,North Lanarkshire,
10,Perth and Kinross,
11,Falkirk,
12,Glasgow City,
13,South Lanarkshire,
14,Stirling,
15,Renfrewshire,
16,West Dunbartonshire,
17,West Lothian,
18,Moray,
19,Orkney Islands,
20,South Ayrshire,
21,Fife,
22,Aberdeen City,
23,City of Edinburgh,1
24,East Lothian,
25,Shetland Islands,
26,Highland,
27,Aberdeenshire,
28,Western Isles,
29,Argyll and Bute,
30,Dumfries and Galloway,
31,Scottish Borders,
32,North Ayrshire,
